corpus_id,filename,title,authors,year,topic,source_url,local_path,pages,sha256,has_tables,has_images,download_status,validation_status,retry_count,failure_reason
med-001,2015_MICCAI_U-Net.pdf,U-Net: Convolutional Networks for Biomedical Image Segmentation,Olaf Ronneberger; Philipp Fischer; Thomas Brox,2015,medical-segmentation-foundation-models,https://arxiv.org/abs/1505.04597,rag-module/doc/医学图像分割知识库材料/2015_MICCAI_U-Net.pdf,8,fffc58380afceb9587135d0d4e85850824364a4e5dc9eae3cf087f55fdad2761,True,True,existing,valid,0,
med-002,2018_MIDL_Attention-U-Net.pdf,Attention U-Net: Learning Where to Look for the Pancreas,Ozan Oktay; Jo Schlemper; Loic Le Folgoc; Matthew Lee; Mattias Heinrich; Kazunari Misawa; Kensaku Mori; Steven McDonagh; Nils Y. Hammerla; Bernhard Kainz; Ben Glocker; Daniel Rueckert,2018,medical-segmentation-foundation-models,https://arxiv.org/abs/1804.03999,rag-module/doc/医学图像分割知识库材料/2018_MIDL_Attention-U-Net.pdf,10,679693f04a2345460800a995b5fd43398decc16cf535c4416d593958fd16dde8,True,True,existing,valid,0,
med-003,2020_Nature-Methods_nnU-Net.pdf,Automated Design of Deep Learning Methods for Biomedical Image Segmentation,Fabian Isensee; Paul F. Jaeger; Simon A. A. Kohl; Jens Petersen; Klaus H. Maier-Hein,2020,medical-segmentation-foundation-models,https://arxiv.org/abs/1904.08128,rag-module/doc/医学图像分割知识库材料/2020_Nature-Methods_nnU-Net.pdf,55,7bc25fa4aa786c3052ec174e4b564905d54a0a508348370b927649d9aae44ad1,True,True,existing,valid,0,
med-004,2026_MIDL_ECT-3DMedSAM_单栏.pdf,ECT-3DMedSAM: Efficient Cross Teaching Using Segment Anything Model for Semi-Supervised 3D Medical Image Segmentation,Zhewen Huang; Sara R. Guariglia; Jiaqi Yang; Chia-Ling Tsai,2026,medical-segmentation-foundation-models,https://proceedings.mlr.press/v315/huang26a.html,rag-module/doc/医学图像分割知识库材料/2026_MIDL_ECT-3DMedSAM_单栏.pdf,14,a713cdb12a371d453e647750ae56fcfdf3160bde26ce743bf76b1068b1455b5c,True,True,existing,valid,0,
med-005,2026_Cognitive-Computation_MDCL-UNet_双栏.pdf,MDCL-UNet: A Multi-Domain Collaborative Learning Method for Medical Image Segmentation,Xu Han; Chaobin Wang; Junni Huang; Meijun Sun; Jinchang Ren; Zheng Wang,2026,medical-segmentation-foundation-models,https://doi.org/10.1007/s12559-026-10628-0,rag-module/doc/医学图像分割知识库材料/2026_Cognitive-Computation_MDCL-UNet_双栏.pdf,16,b1d0a22196221cdc155b8d22849b43fc4cfdab5e792464b09039ad7932a90ee3,True,True,existing,valid,0,
med-006,2023_arXiv_Segment-Anything.pdf,Segment Anything,Alexander Kirillov et al.,2023,medical-segmentation-foundation-models,https://arxiv.org/abs/2304.02643,rag-module/doc/evaluation-corpus/medical-segmentation-foundation-models/2023_arXiv_Segment-Anything.pdf,30,c6ca524e47200c3e542587ca76ac1dbc89cc67340f948c819250d16fdbd90cfb,True,True,cached,valid,0,
med-007,2023_arXiv_MedSAM.pdf,Segment Anything in Medical Images,Jun Ma; Yuting He; Feifei Li; Lin Han; Chenyu You; Bo Wang,2023,medical-segmentation-foundation-models,https://arxiv.org/abs/2304.12306,rag-module/doc/evaluation-corpus/medical-segmentation-foundation-models/2023_arXiv_MedSAM.pdf,20,e6682b7314c1adebd029cb8cf7b173464aff99aaa45941e743e5439e537d4010,True,True,cached,valid,0,
med-008,2023_arXiv_SAM-Med2D.pdf,SAM-Med2D,Junlong Cheng et al.,2023,medical-segmentation-foundation-models,https://arxiv.org/abs/2308.16184,rag-module/doc/evaluation-corpus/medical-segmentation-foundation-models/2023_arXiv_SAM-Med2D.pdf,16,327c08e5c104f6176b2b5451af85d489851a8408898db1e0b231de365500f0a5,True,True,cached,valid,0,
vision-001,2017_arXiv_Attention-Is-All-You-Need.pdf,Attention Is All You Need,Ashish Vaswani et al.,2017,transformer-attention-vision-representation,https://arxiv.org/abs/1706.03762,rag-module/doc/evaluation-corpus/transformer-attention-vision-representation/2017_arXiv_Attention-Is-All-You-Need.pdf,15,bdfaa68d8984f0dc02beaca527b76f207d99b666d31d1da728ee0728182df697,True,True,cached,valid,0,
vision-002,2020_arXiv_Vision-Transformer.pdf,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Alexey Dosovitskiy et al.,2020,transformer-attention-vision-representation,https://arxiv.org/abs/2010.11929,rag-module/doc/evaluation-corpus/transformer-attention-vision-representation/2020_arXiv_Vision-Transformer.pdf,22,8ce7b83971a14508ca711a27c875c9b6914c4f6767cf3150fb1ca6c07aa056d6,True,True,cached,valid,0,
